Workload,Prefetcher,Cycles,mshr_full,prefetch_requested,prefetch_issued,l1D_prefetch_useful,l1D_prefetch_useless,l1D_prefetch_late,l1d_load_miss,l2_prefetch_useful,l2_prefetch_useless,llc_load_miss,PQ_FULL,PQ_MERGED
bwaves_s-2609B,dspatch,144545885,31363286,2915109,2915109,2603176,230370,328653,4038452,0,0,1052797,0,0
omnetpp_s-141B,dspatch,444006416,6309627,18196091,18196091,1289711,8408076,119400,4982406,0,0,1380423,0,16
xalancbmk_s-10B,dspatch,357294136,12048763,9642414,9642414,968942,6547043,123365,10762391,0,0,3993647,0,4
lbm_s-2676B,dspatch,410590151,420083481,969457,969457,939103,537,203965,1955044,0,0,155453,0,0
gcc_s-1850B,dspatch,157460001,851758,3962588,3962588,3042661,600976,151484,4984731,0,0,630814,0,0
mcf_s-665B,dspatch,294077854,12027002,16684048,16684048,2107684,12163883,44117,6136003,0,0,776818,0,2
xalancbmk_s-202B,dspatch,136165010,412551,4309584,4309584,3543020,440487,66461,4064014,0,0,1300422,0,0
fotonik3d_s-10881B,dspatch,366295452,178417957,4175077,4175077,1606947,1481705,341305,8369305,0,0,2853851,0,33
gcc_s-2226B,dspatch,262361295,138457155,1576686,1576686,795989,547853,603249,57623096,0,0,13187939,0,0
pop2_s-17B,dspatch,82435453,8866976,2495351,2495351,1042620,1033175,100122,3791266,0,0,158046,0,0
bwaves_s-1740B,dspatch,143685136,30766984,2939974,2939974,2633219,226976,335286,3973817,0,0,1023306,0,0
fotonik3d_s-8225B,dspatch,111741110,131708,2424555,2424555,2320934,31123,689756,6712966,0,0,195453,0,0
cam4_s-490B,dspatch,95962006,16982912,1548541,1548541,1265460,113976,144557,5870260,0,0,312538,0,0
roms_s-294B,dspatch,104659164,2951094,2308063,2308063,1486768,591827,46723,6863250,0,0,860686,0,0
roms_s-523B,gaze_dspatch,257434397,65759316,5257349,5257349,2391613,416619,709685,13670199,108885,275006,746052,0,67096
cactuBSSN_s-3477B,gaze_dspatch,78103619,22892751,11771984,11771984,393729,3496792,41508,18157340,0,0,277910,0,42243
gcc_s-734B,gaze_dspatch,109975500,194935,5712834,5712834,2128655,436144,6523,3253703,1042,56023,72666,0,12212
mcf_s-1536B,gaze_dspatch,684073743,76539510,12960941,12960941,1721184,10126626,535885,19220167,0,0,1760941,0,30563
bwaves_s-2609B,gaze_dspatch,120312298,17019542,6861850,6861850,2978188,105058,204986,2605706,133349,13717,647388,0,35251
omnetpp_s-141B,gaze_dspatch,459941937,7093031,18860043,18860043,1325803,8966481,135903,4990737,0,0,1370813,0,65754
xalancbmk_s-10B,gaze_dspatch,366817697,15561140,11686307,11686307,1076199,7250100,126371,11097425,17923,317031,3889751,0,326012
lbm_s-2676B,gaze_dspatch,411071252,427874079,1215341,1215341,946404,540,204859,1960352,81,17,148073,0,85353
gcc_s-1850B,gaze_dspatch,134091631,453976,9728203,9728203,3439817,536377,242451,3859889,18267,95214,212071,0,48965
mcf_s-665B,gaze_dspatch,295994955,7893158,18823934,18823934,2170242,12422428,32121,5956806,10472,10349,750698,0,18894
xalancbmk_s-202B,gaze_dspatch,104863265,278403,8303449,8303449,4550926,405120,83845,1788178,97303,6269,296159,0,60187
fotonik3d_s-10881B,gaze_dspatch,372494118,156575928,6866897,6866897,2143800,1598218,405378,7183902,9212,321980,2394977,0,215919
gcc_s-2226B,gaze_dspatch,224122539,107394581,8375831,8375831,3311365,680382,2432475,54378885,1524886,1051813,9133650,0,185230
pop2_s-17B,gaze_dspatch,80290834,8779496,4202002,4202002,1246411,1083858,112610,3157035,28642,94332,66837,0,33134
bwaves_s-1740B,gaze_dspatch,119696789,16544796,6853322,6853322,3002098,112432,211544,2568447,128115,15488,630088,0,33939
fotonik3d_s-8225B,gaze_dspatch,102226974,87089,5841539,5841539,2366999,29200,535013,5327058,352889,6026,149402,0,174508
cam4_s-490B,gaze_dspatch,93672215,16914719,4407391,4407391,1672559,136178,209692,4518427,79613,35774,190643,0,77176
roms_s-294B,gaze_dspatch,82472431,2226807,6339022,6339022,2354801,590879,78504,1852657,1069,685389,191404,0,12418
roms_s-523B,bingo,244287318,75375126,3079198,3079198,2517542,264471,714488,13201366,0,0,720520,0,40
cactuBSSN_s-3477B,bingo,83660245,21414854,4051489,4051489,589652,847450,94378,17131594,0,0,368764,0,9339
gcc_s-734B,bingo,106767219,65041,3311247,3311247,3031258,209557,8320,515332,0,0,95468,0,40
mcf_s-1536B,bingo,537377731,17144743,10852738,10852738,3052147,6418826,451036,17308839,0,0,5007148,0,2
bwaves_s-2609B,bingo,141878447,32520397,3166099,3166099,2875956,25987,346877,3607644,0,0,971987,0,7206
omnetpp_s-141B,bingo,386639599,2229080,7060977,7060977,1407446,3964655,105344,4206415,0,0,1209122,0,51
xalancbmk_s-10B,bingo,337705580,4012657,5870303,5870303,1209275,2644368,156088,9131337,0,0,3748595,0,123
lbm_s-2676B,bingo,410373615,420664594,970069,970069,937700,0,202386,1972154,0,0,156858,0,0
gcc_s-1850B,bingo,133470112,528139,5648994,5648994,4295217,308969,224233,2337359,0,0,329121,0,1303
